TRIAL_INDEX	KEYPRESS	letter	expected	RESPONSE	trial	image	trial_type	locationid	location	RT	SACCADE_RT
1	z	P	/	INCORRECT	11	MN_2.jpg	Practice	LEFT	"(50, 330)"	407	177
2	/	P	z	INCORRECT	7	MN_2.jpg	Practice	RIGHT	"(974, 330)"	417	122
4	z	X	z	CORRECT	4	FN_2.jpg	Practice	RIGHT	"(974, 330)"	881	109
6	z	P	z	CORRECT	5	MN_2.jpg	Practice	LEFT	"(50, 330)"	559	-1
7	/	P	z	INCORRECT	8	MN_3.jpg	Practice	RIGHT	"(974, 330)"	545	111
8	z	X	z	CORRECT	9	FN_1.jpg	Practice	LEFT	"(50, 330)"	465	-1
9	z	X	z	CORRECT	10	FN_2.jpg	Practice	RIGHT	"(974, 330)"	877	118
11	/	X	z	INCORRECT	2	MN_3.jpg	Practice	LEFT	"(50, 330)"	1307	400
14	/	P	z	INCORRECT	6	MN_3.jpg	Practice	LEFT	"(50, 330)"	1515	512
15	/	P	/	CORRECT	12	MN_3.jpg	Practice	RIGHT	"(974, 330)"	1096	116
17	z	X	z	CORRECT	3	FN_1.jpg	Practice	RIGHT	"(974, 330)"	1080	108
18	/	X	z	INCORRECT	1	MN_2.jpg	Practice	LEFT	"(50, 330)"	873	424
20	z	X	z	CORRECT	243	FN_2.jpg	Experimental	LEFT	"(50, 330)"	1102	278
22	z	X	z	CORRECT	125	FA_2.jpg	Experimental	RIGHT	"(974, 330)"	919	102
23	z	X	z	CORRECT	55	FF_2.jpg	Experimental	LEFT	"(50, 330)"	977	122
24	z	X	z	CORRECT	207	MN_2.jpg	Experimental	LEFT	"(50, 330)"	1005	130
26	z	X	z	CORRECT	179	FH_2.jpg	Experimental	LEFT	"(50, 330)"	961	235
27	/	P	/	CORRECT	14	MF_2.jpg	Experimental	RIGHT	"(974, 330)"	953	107
28	/	P	/	CORRECT	246	FN_2.jpg	Experimental	RIGHT	"(974, 330)"	1590	103
30	/	P	/	CORRECT	120	FA_2.jpg	Experimental	LEFT	"(50, 330)"	1056	352
31	/	P	/	CORRECT	100	FA_1.jpg	Experimental	LEFT	"(50, 330)"	892	189
33	/	P	/	CORRECT	110	FA_1.jpg	Experimental	RIGHT	"(974, 330)"	1045	117
34	z	X	z	CORRECT	113	FA_2.jpg	Experimental	RIGHT	"(974, 330)"	925	104
35	z	X	z	CORRECT	41	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	910	113
36	z	X	z	CORRECT	99	FA_1.jpg	Experimental	LEFT	"(50, 330)"	1710	114
37	/	P	/	CORRECT	218	MN_3.jpg	Experimental	RIGHT	"(974, 330)"	853	112
38	/	P	/	CORRECT	102	FA_1.jpg	Experimental	RIGHT	"(974, 330)"	668	99
39	z	X	z	CORRECT	241	FN_2.jpg	Experimental	RIGHT	"(974, 330)"	805	105
40	/	P	/	CORRECT	186	FH_2.jpg	Experimental	RIGHT	"(974, 330)"	673	105
42	/	P	/	CORRECT	58	FF_2.jpg	Experimental	RIGHT	"(974, 330)"	723	103
43	z	X	z	CORRECT	123	FA_2.jpg	Experimental	LEFT	"(50, 330)"	945	154
44	/	P	/	CORRECT	12	MF_2.jpg	Experimental	LEFT	"(50, 330)"	881	172
45	z	X	z	CORRECT	101	FA_1.jpg	Experimental	RIGHT	"(974, 330)"	835	110
47	/	P	/	CORRECT	220	MN_3.jpg	Experimental	LEFT	"(50, 330)"	1042	522
48	/	P	/	CORRECT	16	MF_2.jpg	Experimental	LEFT	"(50, 330)"	707	189
49	z	X	z	CORRECT	17	MF_3.jpg	Experimental	RIGHT	"(974, 330)"	888	127
50	z	X	z	CORRECT	149	MH_3.jpg	Experimental	RIGHT	"(974, 330)"	1050	317
51	/	P	/	CORRECT	60	FF_2.jpg	Experimental	LEFT	"(50, 330)"	934	288
55	z	X	z	CORRECT	79	MA_2.jpg	Experimental	LEFT	"(50, 330)"	794	165
56	/	P	/	CORRECT	126	FA_2.jpg	Experimental	RIGHT	"(974, 330)"	676	200
57	/	P	/	CORRECT	134	MH_2.jpg	Experimental	RIGHT	"(974, 330)"	759	107
58	/	P	/	CORRECT	128	FA_2.jpg	Experimental	LEFT	"(50, 330)"	737	184
59	/	X	z	INCORRECT	85	MA_3.jpg	Experimental	RIGHT	"(974, 330)"	574	327
60	z	X	z	CORRECT	59	FF_2.jpg	Experimental	LEFT	"(50, 330)"	641	160
62	/	P	/	CORRECT	46	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	756	167
63	z	X	z	CORRECT	71	MA_2.jpg	Experimental	LEFT	"(50, 330)"	871	164
64	z	X	z	CORRECT	225	FN_1.jpg	Experimental	RIGHT	"(974, 330)"	841	98
65	/	P	/	CORRECT	84	MA_3.jpg	Experimental	LEFT	"(50, 330)"	827	315
66	/	P	/	CORRECT	154	MH_3.jpg	Experimental	RIGHT	"(974, 330)"	652	101
67	z	X	z	CORRECT	49	FF_2.jpg	Experimental	RIGHT	"(974, 330)"	876	124
68	/	P	/	CORRECT	118	FA_2.jpg	Experimental	RIGHT	"(974, 330)"	785	164
69	z	X	z	CORRECT	9	MF_2.jpg	Experimental	RIGHT	"(974, 330)"	711	106
70	z	X	z	CORRECT	231	FN_1.jpg	Experimental	LEFT	"(50, 330)"	783	130
71	/	P	/	CORRECT	180	FH_2.jpg	Experimental	LEFT	"(50, 330)"	787	181
72	/	P	/	CORRECT	112	FA_1.jpg	Experimental	LEFT	"(50, 330)"	684	161
73	/	P	/	CORRECT	156	MH_3.jpg	Experimental	LEFT	"(50, 330)"	881	335
75	/	P	/	CORRECT	54	FF_2.jpg	Experimental	RIGHT	"(974, 330)"	448	110
76	/	P	/	CORRECT	214	MN_3.jpg	Experimental	RIGHT	"(974, 330)"	656	254
77	z	X	z	CORRECT	147	MH_3.jpg	Experimental	LEFT	"(50, 330)"	793	270
78	z	X	z	CORRECT	175	FH_1.jpg	Experimental	LEFT	"(50, 330)"	1045	312
79	/	P	/	CORRECT	98	FA_1.jpg	Experimental	RIGHT	"(974, 330)"	759	391
80	/	P	/	CORRECT	108	FA_1.jpg	Experimental	LEFT	"(50, 330)"	926	294
81	/	X	z	INCORRECT	37	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	570	114
82	z	X	z	CORRECT	15	MF_2.jpg	Experimental	LEFT	"(50, 330)"	796	192
84	/	P	/	CORRECT	34	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	1077	327
85	/	P	/	CORRECT	240	FN_1.jpg	Experimental	LEFT	"(50, 330)"	815	174
86	z	X	z	CORRECT	11	MF_2.jpg	Experimental	LEFT	"(50, 330)"	946	288
87	z	X	z	CORRECT	53	FF_2.jpg	Experimental	RIGHT	"(974, 330)"	794	156
88	/	P	/	CORRECT	72	MA_2.jpg	Experimental	LEFT	"(50, 330)"	809	278
89	/	P	/	CORRECT	38	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	728	229
90	z	X	z	CORRECT	45	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	798	202
91	z	X	z	CORRECT	223	MN_3.jpg	Experimental	LEFT	"(50, 330)"	708	124
92	z	X	z	CORRECT	165	FH_1.jpg	Experimental	RIGHT	"(974, 330)"	740	123
93	/	P	/	CORRECT	194	MN_2.jpg	Experimental	RIGHT	"(974, 330)"	1213	332
94	/	P	/	CORRECT	132	MH_2.jpg	Experimental	LEFT	"(50, 330)"	793	144
95	/	P	/	CORRECT	32	MF_3.jpg	Experimental	LEFT	"(50, 330)"	742	224
97	/	P	/	CORRECT	64	FF_2.jpg	Experimental	LEFT	"(50, 330)"	666	152
98	/	P	/	CORRECT	160	MH_3.jpg	Experimental	LEFT	"(50, 330)"	638	156
